Module type,Event type,Event ID,Message,Description,Solution,alert,syslog,mail,SNMP Trap
pm,Info,1,Starting the cluster daemon...,The EXPRESSCLUSTER daemon has started normally.,-,1,1,,
pm,Info,2,Shutting down the cluster daemon...,The EXPRESSCLUSTER daemon is stopping.,-,1,1,,
pm,Info,3,Shutdown monitoring is started...,Shutdown monitoring has started.,-,1,1,,
pm,Error,10,The cluster daemon has already started.,The EXPRESSCLUSTER daemon has already started.,Check the status of the EXPRESSCLUSTER daemon.,1,1,,
pm,Error,11,A critical error occurred in the cluster daemon.,A critical error has occurred in the EXPRESSCLUSTER daemon.,Check the following possible causes: the execution user has no root permission. there is a memory shortage. or OS resources are insufficient.,1,1,1,1
pm,Error,12,A problem was detected in XML library.,A problem was detected in the XML library.,Check the following possible causes: memory shortage or OS resource insufficiency.,1,1,,
pm,Error,13,A problem was detected in cluster configuration data.,A problem was detected in the cluster configuration data.,Using the Cluster WebUI. check the cluster configuration data.,1,1,1,1
pm,Error,14,No cluster configuration data is found.,There is no cluster configuration data.,Create the cluster configuration with the Cluster WebUI and upload it to all servers in the cluster.,1,1,,
pm,Error,15,No information about this server is found in the cluster configuration data.,Information about the local server is not found in the cluster configuration data.,Using the Cluster WebUI. check the cluster configuration data.,1,1,,
pm,Error,20,Process %1 was terminated abnormally.,Process %1 was terminated abnormally.,Check the following possible causes: memory shortage or OS resource insufficiency.,1,1,1,1
pm,Error,21,The system will be stopped because the cluster daemon process terminated abnormally.,The system will stop because the EXPRESSCLUSTER daemon process terminated abnormally.,Deactivation of the group resource may fail. Take appropriate action according to the group resource message.,1,1,,
pm,Error,22,An error occurred when initializing process %1.(return code:%2),An error occurred in initializing process %1.,"The event process may not yet have been started. See &quot;<a class=""reference internal"" href=""L_RG_09.html#troubleshooting2""><span class=""std std-ref"">Troubleshooting</span></a>&quot;.",1,1,1,1
pm,Info,23,The system will be stopped.,The system will be stopped.,-,1,1,,
pm,Info,24,The cluster daemon will be stopped.,The EXPRESSCLUSTER daemon will be stopped.,-,1,1,,
pm,Info,25,The system will be rebooted.,The system will be rebooted.,-,1,1,,
pm,Info,26,Process %1 will be restarted.,Process %1 will be restarted.,-,1,1,,
pm,Info,30,Received a request to stop the system from %1.,A system stop request was received from %1.,-,1,1,,
pm,Info,31,Received a request to stop the cluster daemon from %1.,An EXPRESSCLUSTER daemon stop request was received from %1.,-,1,1,,
pm,Info,32,Received a request to reboot the system from %1.,A system reboot request was received from %1.,-,1,1,,
pm,Info,33,Received a request to restart the cluster daemon from %1.,An EXPRESSCLUSTER daemon reboot request was received from %1.,-,1,1,,
pm,Info,34,Received a request to resume the cluster daemon from %1.,A cluster resume request was received from %1.,-,1,1,,
pm,Info,35,Received a request to suspend the cluster daemon from %1.,A cluster suspend request was received from %1.,-,1,1,,
pm,Info,36,Received a request to panic by sysrq from %1.,A panic request by sysrq was received from %1.,-,1,1,,
pm,Info,37,Received a request to reset by keepalive driver from %1.,A reset request by the keepalive driver was received from %1.,-,1,1,,
pm,Info,38,Received a request to panic by keepalive driver from %1.,A panic request by the keepalive driver was received from %1.,-,1,1,,
pm,Info,39,Received a request to reset by BMC from %1.,A reset request by BMC was received from %1.,-,1,1,,
pm,Info,40,Received a request to power down by BMC from %1.,A power down request by BMC was received from %1.,-,1,1,,
pm,Info,41,Received a request to power cycle by BMC from %1.,A power cycle request by BMC was received from %1.,-,1,1,,
pm,Info,42,Received a request to send NMI by BMC from %1.,An NMI send request by BMC was received from %1.,-,1,1,,
pm,Error,43,Received a request to send IO Fencing by ACPI driver from %1.,An IO Fencing send request by ACPI driver was received from %1.,,1,1,,
pm,Error,66,An attempt to panic by sysrq from %1 failed.,An attempt was made to cause a panic by sysrq from %1. but failed.,Check whether the system is configured so that it can use sysrq.,1,1,,
pm,Error,67,An attempt to reset by keepalive driver from %1 failed.,An attempt was made to cause a reset by the keepalive driver from %1. but failed.,Check whether the established environment supports the use of the keepalive driver.,1,1,,
pm,Error,68,An attempt to panic by keepalive driver from %1 failed.,An attempt was made to cause a panic by the keepalive driver from %1. but failed.,Check whether the established environment supports the use of the keepalive driver.,1,1,,
pm,Error,69,An attempt to reset by BMC from %1 failed.,An attempt was made to cause a reset by BMC from %1. but failed.,Check whether the ipmitool command can be used.,1,1,,
pm,Error,70,An attempt to power down by BMC from %1 failed.,An attempt was made to cause power down by BMC from %1. but failed.,Check whether the ipmitool command can be used.,1,1,,
pm,Error,71,An attempt to power cycle by BMC from %1 failed.,An attempt was made to cause a power cycle by BMC from %1. but failed.,Check whether the ipmitool command can be used.,1,1,,
pm,Error,72,An attempt to send NMI by BMC from %1 failed.,An attempt was made to perform an NMI transmission by BMC from %1. but failed.,Check whether the ipmitool command can be used.,1,1,,
pm,Error,73,An attempt to send IO Fencing by ACPI driver from %1 failed.,An attempt was made to perform I/O fencing with the ACPI driver from %1. but failed.,Confirm whether the ACPI driver for EXPRESSCLUSTER linkage is available.,1,1,,
pm,Info,100,The system will be panic by sysrq.,The system will be panicked by sysrq.,-,1,1,,
pm,Info,101,The system will be reset by ka.,The system will be reset by the keep alive driver.,-,1,1,,
pm,Info,102,The system will be panic by ka.,The system will be panicked by the keep alive driver.,-,1,1,,
pm,Info,103,The system will be reset by bmc.,The system will be reset by BMC.,-,1,1,,
pm,Info,104,The system will be off by bmc.,The system will be turned OFF by BMC.,-,1,1,,
pm,Info,105,The system will be cycle by bmc.,The system will be turned OFF and then back ON by BMC.,-,1,1,,
pm,Info,106,The system will be nmi by bmc.,The system will be NMI-transmitted by BMC.,-,1,1,,
pm,Info,107,The system will be iofencing.,The system will be subject to I/O fencing.,-,1,1,,
nm,Info,1,Server %1 has started.,Server %1 has started.,-,1,1,,
nm,Info,2,Server %1 has been stopped.,Server %1 has stopped.,-,1,1,1,1
nm,Info,3,Resource %1 of server %2 has started.,Resource %1 of server %2 has started.,-,1,1,,
nm,Info,4,Resource %1 of server %2 has stopped.,Resource %1 of server %2 has stopped.,-,1,1,,
nm,Info,5,Waiting for all servers to start.,Waiting for all servers to start has started.,-,1,1,,
nm,Info,6,All servers have started.,All servers have started.,-,1,1,,
nm,Info,7,Timeout occurred during the wait for startup of all servers.,Waiting for all servers to start has timed out.,-,1,1,,
nm,Error,8,Timeout occurred during the wait for startup of all servers. (Cannot communicate with some servers.),Waiting for all servers to start has timed out. (Internal communication with some servers is impossible.),Check whether there is a network adaptor error and that the network is connected properly.,1,1,,
nm,Info,9,Waiting for startup of all servers has been canceled.,Waiting for servers to start has been canceled.,-,1,1,,
nm,Error,10,Status of resource %1 of server %2 is unknown.,The status of resource %1 of server %2 is unknown.,Check that cable for resource %1 and the network are set correctly.,1,1,1,1
nm,Error,20,Process %1 was terminated abnormally.,Process %1 was terminated abnormally.,Check the following possible causes: memory shortage or OS resource insufficiency.,1,1,1,1
nm,Info,21,The system will be stopped.,The system will be stopped.,-,1,1,,
nm,Info,22,The cluster daemon will be stopped.,The EXPRESSCLUSTER daemon will be stopped.,-,1,1,,
nm,Info,23,The system will be rebooted.,The system will be rebooted.,-,1,1,,
nm,Info,24,Process %1 will be restarted.,Process %1 will be restarted.,-,1,1,,
nm,Error,30,Network partition was detected. Shut down the server %1 to protect data.,A network partition was detected. Server %1 is shut down to protect the data.,All heartbeats cannot be used. Check whether there is a network adaptor error and that the network is connected properly.Check the status of the shared disk if DISKHB is in use.Check that the COM cable is properly connected if COMHB is in use.,1,1,,
nm,Error,31,An error occurred while confirming the network partition. Shut down the server %1.,A problem occurred while the network partition was being checked. Server %1 is shut down to protect data.,Check whether there is an error in the network partition resolution resource.,1,1,,
nm,Error,32,Shut down the server %1. (reason:%2),Server %1 is shut down. (Reason: %2),All heartbeats cannot be used. Check whether there is a network adaptor error and that the network is connected properly.Check the status of the shared disk if DISKHB is in use.Check that the COM cable is properly connected if COMHB is in use.,1,1,,
nm,Error,33,Cluster service will be stopped. (reason:%1),The cluster service will be stopped. (Reason: %1),Remove the factor indicated in &quot;reason&quot;.,1,1,,
nm,Error,34,The combination of the network partition resources is invalid. (server name:%1),The combination of the network partition resolution resources is invalid. (Server name: %1),Check the cluster configuration data.,1,1,,
nm,Error,35,Failed to start the resource %1. Server name:%2,Resource %1 failed to start. (Server name: %2),Check whether there is an error in the network partition resolution resource.,1,1,,
nm,Info,36,The network partition %1 of the server %2 has been recovered to the normal status.,Network partition %1 of server %2 has been recovered to the normal status.,-,1,1,,
nm,Error,37,The network partition %1 of the server %2 has an error.,Network partition %1 of server %2 is abnormal.,Check whether there is an error in the network partition resolution resource.,1,1,,
nm,Error,38,The resource %1 of the server %2 is unknown.,Resource %1 of server %2 is unknown.,Check the cluster configuration data.,1,1,,
nm,Info,39,The server %1 cancelled the pending failover.,Server %1 canceled the failover.,-,1,1,,
nm,Error,40,Network partition was detected.  Stop the cluster service on the server %1 to protect data.,A network partition was detected. The cluster service of server %1 is stopped to protect the data.,All heartbeats cannot be used. Check whether there is a network adaptor error and that the network is connected properly.Check the status of the shared disk if DISKHB is in use.Check that the COM cable is properly connected if COMHB is in use.,1,1,,
nm,Error,41,An error occurred while confirming the network partition. Stop the cluster service on the server %1.,A problem occurred while the network partition was being checked. The cluster service of server %1 is stopped to protect data.,Check whether there is an error in the network partition resolution resource.,1,1,,
nm,Error,42,Network partition was detected.  Reboot the cluster service on the server %1 to protect data.,A network partition was detected. Server %1 is reboot to protect the data.,All heartbeats cannot be used. Check whether there is a network adaptor error and that the network is connected properly.Check the status of the shared disk if DISKHB is in use.Check that the COM cable is properly connected if COMHB is in use.,1,1,,
nm,Error,43,Network partition was detected.  Execute action(%1) on the server %2 to protect data.,A network partition was detected. Execute action(%1) on the server %2 to protect data.,All heartbeats cannot be used. Check whether there is a network adaptor error and that the network is connected properly.Check the status of the shared disk if DISKHB is in use.Check that the COM cable is properly connected if COMHB is in use.,1,1,,
nm,Error,44,An error occurred while confirming the network partition. Reboot the server %1.,A problem occurred while the network partition was being checked. Server %1 is reboot to protect data.,Check whether there is an error in the network partition resolution resource.,1,1,,
nm,Error,45,An error occurred while confirming the network partition. Execute action(%1) on the server %2.,A problem occurred while the network partition was being checked. Execute action(%1) on the server %2.,Check whether there is an error in the network partition resolution resource.,1,1,,
nm,Error,46,Reboot the server %1. (reason:%2),Server %1 is reboot. (Reason: %2),All heartbeats cannot be used. Check whether there is a network adaptor error and that the network is connected properly.Check the status of the shared disk if DISKHB is in use.Check that the COM cable is properly connected if COMHB is in use.,1,1,,
nm,Error,47,Execute action(%1) on the server %2. (reason:%3),Execute action(%1) on the server %2. (reason:%3),All heartbeats cannot be used. Check whether there is a network adaptor error and that the network is connected properly.Check the status of the shared disk if DISKHB is in use.Check that the COM cable is properly connected if COMHB is in use.,1,1,,
nm,Error,80,Cannot communicate with server %1.,Internal communication with server %1 is impossible.,Check whether there is a network adaptor error and that the network is connected properly.,1,1,,
nm,Info,81,Recovered from internal communication error with server %1.,Internal communication with server %1 has been recovered from the abnormal status.,-,1,1,,
rc,Info,10,Activating group %1 has started.,Activating group %1 has started.,-,1,1,,
rc,Info,11,Activating group %1 has completed.,Activating group %1 has been completed.,-,1,1,,
rc,Error,12,Activating group %1 has failed.,Activating group %1 has failed.,Take appropriate action according to the group resource message.,1,1,,
rc,Info,15,Waiting for group %1 to start has started.,Waiting for the group to start has started.,-,1,1,,
rc,Info,16,Waiting for group %1 to start has been completed.,Waiting for the group to start has been normally completed.,-,1,1,,
rc,Error,17,Group start has been cancelled because waiting for group %1 to start has timed out.,Waiting for the group to start has timed out.,Check the status of the group waiting to start.If the group has not yet been started. re-perform the group operation after starting that group.,1,1,,
rc,Warning,18,Waiting for group %1 to start has timed out. However. group start continues.,Waiting for the group to start has timed out. However. group start continues.,-,1,1,,
rc,Info,20,Stopping group %1 has started.,Stopping group %1 has started.,-,1,1,,
rc,Info,21,Stopping group %1 has completed.,Stopping group %1 has been completed.,-,1,1,,
rc,Error,22,Stopping group %1 has failed.,Stopping group %1 has failed.,Take appropriate action according to the group resource message.,1,1,,
rc,Warning,23,Server %1 is not in a condition to start group %2.,Server %1 cannot start group %2.,A server on which an absolute exclusion group has already started cannot start another absolute exclusion group. Stop the existing absolute exclusion group and then reexecute.,1,1,,
rc,Info,25,Waiting for group %1 to stop has started.,Waiting for the group to stop has started.,-,1,1,,
rc,Info,26,Waiting for group %1 to stop has been completed.,Waiting for the dependent group to stop has been normally completed.,-,1,1,,
rc,Error,27,Group stop has been cancelled because waiting for group %1 to stop has timed out.,Waiting for the group to stop has timed out.,Check the status of the group waiting to stop.If the group has not yet been stopped. re-perform the group operation after stopping that group.,1,1,,
rc,Warning,28,Waiting for group %1 to stop has timed out. However. group stop continues.,Stop waiting has timed out. However. group stop continues.,-,1,1,,
rc,Info,30,Activating %1 resource has started.,Activating resource %1 has started.,-,,1,,
rc,Info,31,Activating %1 resource has completed.,Activating resource %1 has been completed.,-,,1,,
rc,Error,32,Activating %1 resource has failed.(%2 : %3),Activating resource %1 has failed.,"See &quot;<a class=""reference internal"" href=""#detailed-information-in-activating-and-deactivating-group-resources""><span class=""std std-ref"">Detailed information in activating and deactivating group resources</span></a>&quot;.If a stall occurs during start processing. &quot;Activating %1 resource has failed.(99 : command is timeout)&quot; is output.",1,1,1,1
rc,Info,33,A request to activate %1 resource on server %2 has been started.,A request to activate resource %1 on server %2 has been started.,-,1,1,,
rc,Info,34,A request to activate %1 resource on server %2 has been completed.,A request to activate resource %1 on server %2 has been completed.,-,1,1,,
rc,Error,35,A request to activate %1 resource on server %2 has been failed.,A request to activate resource %1 on server %2 has been failed.,Check if there is a network error or there is an error with the remote server.,1,1,,
rc,Info,40,Stopping %1 resource has started.,Stopping resource %1 has started.,-,,1,,
rc,Info,41,Stopping %1 resource has completed.,Stopping resource %1 has been completed.,-,,1,,
rc,Error,42,Stopping %1 resource has failed.(%2 : %3),Stopping resource %1 has failed.,"See &quot;<a class=""reference internal"" href=""#detailed-information-in-activating-and-deactivating-group-resources""><span class=""std std-ref"">Detailed information in activating and deactivating group resources</span></a>&quot;.If a stall occurs during stop processing. &quot;Stopping %1 resource has failed.(99 : command is timeout)&quot; is output.",1,1,1,1
rc,Info,44,A request to stop %1 resource on server %2 has been started.,A request to stop resource %1 on server %2 has been started.,-,1,1,,
rc,Info,45,A request to stop %1 resource on server %2 has been completed.,A request to stop resource %1 on server %2 has been completed.,-,1,1,,
rc,Error,46,A request to stop %1 resource on server %2 has been failed.,A request to stop resource %1 on server %2 has been failed.,Check if there is a network error or there is an error with the remote server.,1,1,,
rc,Info,50,Moving group %1 has started.,Moving group %1 has started.,-,1,1,,
rc,Info,51,Moving group %1 has completed.,Moving group %1 has been completed.,-,1,1,,
rc,Error,52,Moving group %1 has failed.,Moving group %1 has failed.,Take appropriate action according to the group resource message.,1,1,,
rc,Info,55,Migrating group %1 has started.,Migrating group %1 has started.,-,1,1,,
rc,Info,56,Migrating group %1 has completed.,Migrating group %1 has been completed.,-,1,1,,
rc,Error,57,Migrating group %1 has failed.,Migrating group %1 has failed.,Take appropriate action according to the group resource message.,1,1,,
rc,Warning,58,Server %1 is not in a condition to migrate group %2.,Server %1 cannot make group %2 migrate.,Check the status of the migration destination server.If no migration destination server exists. the server name is not output to %1.,1,1,,
rc,Info,60,Failover group %1 has started.,Failover of group %1 has started.,-,1,1,,
rc,Info,61,Failover group %1 has completed.,Failover of group %1 has been completed.,-,1,1,,
rc,Error,62,Failover group %1 has failed.,Failover of group %1 has failed.,Take appropriate action according to the group resource message.,1,1,,
rc,Warning,63,Server %1 is not in a condition to move group %2.,Server %1 cannot move group %2.,"<div class=""line-block""><div class=""line"">Check the status of the movement destination server.</div><div class=""line"">If no movement destination server exists. the server name is not output to %1.</div></div>",1,1,,
rc,Info,64,Server %1 has been set as the destination for the group %2 (reason: %3).,Server %1 has been set as the failover destination of group %2. (Reason: %3),-,1,1,,
rc,Error,65,There is no appropriate destination for the group %1 (reason: %2).,There is no appropriate failover destination for group %1. (Reason: %2),There is no server that can provide failover.The server is stopping or a monitor resource error disabling failover is occurring.Start the server. remove the cause of the monitor resource error. or stop the monitor resource in which the error is detected.,1,1,,
rc,Warning,66,Server %1 is not in a condition to start group %2 (reason: %3).,Server %1 cannot start group %2. (Reason: %2),There is a monitor resource error that is disabling group start.Remove the cause of the monitor resource error. or stop the monitor resource in which the error is detected.,1,1,,
rc,Info,67,Server %1 in the same server group (%2) has been set as the destination for the group %3.,Server %1 in the same server group %2 has been set as the failover destination of group %3.,-,1,1,,
rc,Info,68,Server %1 not in the same server group (%2) has been set as the destination for the group %3.,Server %1 in a server group other than server group %2 has been set as the failover destination of group %3.,-,1,1,,
rc,Warning,69,Can not failover the group %1 because there is no appropriate destination in the same server group %2.,Server group %2 does not contain the server that can perform failover for group %1.,Start the group after starting the server in the server group or start the group with the server in another server group.,1,1,,
rc,Info,70,Restarting group %1 has started.,Reactivating group %1 has started.,-,1,1,,
rc,Info,71,Restarting group %1 has completed.,Reactivating group %1 has been completed.,-,1,1,,
rc,Error,72,Restarting group %1 has failed.,Reactivating group %1 has failed.,Take appropriate action according to the group resource message.,1,1,,
rc,Info,74,Failback group %1 has started.,Failback group %1 has started.,-,1,1,,
rc,Info,75,Failback group %1 has completed.,Failback group %1 has been completed.,-,1,1,,
rc,Error,76,Failback group %1 has failed.,Failback group %1 has failed.,Take appropriate action according to the group resource message.,1,1,,
rc,Error,77,Failover some groups have failed since the server cannot communicate with some servers.,Failed to failover some groups  because of no internal communication to some servers.,Check the status of LAN heartbeat and kernel mode LAN heartbeat. After recovering the internal communication. restart the group.,1,1,,
rc,Info,80,Restarting resource %1 has started.,Reactivating resource %1 has started.,-,1,1,,
rc,Info,81,Restarting resource %1 has completed.,Reactivating resource %1 has been completed.,-,1,1,,
rc,Error,82,Restarting resource %1 has failed.,Reactivating resource %1 has failed.,Take appropriate action according to the group resource message.,1,1,,
rc,Info,83,Starting a single resource %1.,Single resource %1 is started.,-,1,1,,
rc,Info,84,A single resource %1 has been started.,Single resource %1 has been started.,-,1,1,,
rc,Error,85,Failed to start a single resource %1.,Single resource %1 failed to start.,Take appropriate action according to the group resource message.,1,1,,
rc,Warning,86,Server %1 is not in a condition to start a single resource %2.,Server %1 cannot start single source %2.,Check the server and group status.,1,1,,
rc,Info,87,Stopping a single resource %1.,Single resource %1 is stopped.,-,1,1,,
rc,Info,88,A single resource %1 has been stopped.,Single resource %1 has been stopped.,-,1,1,,
